iter	Passed	Remaining
0	1	115
1	2	107
2	3	102
3	3	95
4	4	94
5	5	93
6	7	95
7	8	95
8	9	95
9	10	93
10	11	92
11	12	91
12	13	89
13	14	88
14	15	87
15	16	86
16	17	84
17	18	83
18	19	81
19	20	80
20	21	79
21	21	77
22	22	76
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	75	20
79	76	19
80	77	18
81	78	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	97	1
98	98	0
99	99	0
